"Path","Hash","Size","Reason","ChunkOffset","DataOffset"
"data\map\digitalworld\adventure_02\object_data\structure\405_rocks\405_rock_12.nif","0x80EDAAF3","3279","missing","20481251010","20481251278"
"data\map\digitalworld\adventure_02\object_data\structure\butterfly\1500_butterfly_01.dds","0xBF0561F5","174904","missing","20481254557","20481254825"
"data\map\digitalworld\adventure_02\object_data\structure\butterfly\400_butterfly_01_ani.nif","0xA772739C","11194","missing","20481429729","20481429997"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_01\256_cliff01_gray.dds","0x0F664645","2796344","missing","20481441191","20481441459"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_01\256_cliff02_gray.dds","0x83E2B746","2796344","missing","20484237803","20484238071"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_01\400_cliff01_gray.nif","0x5991473E","123771","missing","20487034415","20487034683"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_01\400_cliff01_gray_02.nif","0x3BE26E7F","112835","missing","20487158454","20487158722"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_01\400_cliff02_gray.nif","0xCE0DB83F","158389","missing","20487271557","20487271825"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_01\400_cliff03_gray.nif","0x428A2940","167503","missing","20487430214","20487430482"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_01\400_cliff04_gray.nif","0xB7069A41","289004","missing","20487597985","20487598253"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_01\400_cliff05_gray.nif","0x2B830B42","206187","missing","20487887257","20487887525"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_01\400_cliff06_gray.nif","0x9FFF7C43","35455","missing","20488093712","20488093980"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_01\400_cliff07_gray.nif","0x147BED44","108427","missing","20488129435","20488129703"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_01\400_cliff08_gray.nif","0x88F85E45","127869","missing","20488238130","20488238398"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_01\400_cliff09_gray.nif","0xFD74CF46","330713","missing","20488366267","20488366535"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_01\400_cliff10_gray.nif","0xE91F675E","258655","missing","20488697248","20488697516"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_01\400_cliff11_gray.nif","0x5D9BD85F","386095","missing","20488956171","20488956439"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_01\400_cliff12_gray.nif","0xD2184960","69913","missing","20489342534","20489342802"
