"AssetPath","Address","Status","FromFunction","FromEntry","RefAddr","Note"
"EquipSystem\Upgrade_Slot.tga","01ae2c40","REQUIRED_COPIED_XREF","FUN_012713a0","012713a0","01271487",""
"EquipSystem\Upgrade_Slot.tga","01ae2c40","REQUIRED_COPIED_XREF","FUN_01276eb0","01276eb0","01276f1f",""
"EquipSystem\Upgrade_Success_Effect.dds","01ae4608","REQUIRED_ADJACENT_XREF","FUN_011f77b0","011f77b0","011f78e3",""
"EquipSystem\Upgrade_Success_Effect.dds","01ae4608","REQUIRED_ADJACENT_XREF","FUN_011f77b0","011f77b0","011f7905",""
"EquipSystem\Upgrade_Success_Effect.dds","01ae4608","REQUIRED_COPIED_XREF","FUN_0126b5b0","0126b5b0","0126b6f5",""
"EquipSystem\Upgrade_Success_Effect.dds","01ae4608","REQUIRED_COPIED_XREF","FUN_012703e0","012703e0","01270525",""
"EquipSystem\Upgrade_Success_Effect.dds","01ae4608","REQUIRED_COPIED_XREF","FUN_01275e30","01275e30","01275f75",""
"game\Upgrade_Destory.wav","01ae8e28","REQUIRED_COPIED_XREF","FUN_01277870","01277870","01277a22",""
"game\Upgrade_Fail.wav","01ae4630","REQUIRED_ADJACENT_XREF","FUN_011f77b0","011f77b0","011f7a32",""
"game\Upgrade_Fail.wav","01ae4630","REQUIRED_COPIED_XREF","FUN_0126c260","0126c260","0126c2eb",""
"game\Upgrade_Fail.wav","01ae4630","REQUIRED_COPIED_XREF","FUN_01271060","01271060","012710e3",""
"game\Upgrade_Fail.wav","01ae4630","REQUIRED_COPIED_XREF","FUN_01277870","01277870","0127796f",""
"game\Upgrade_Process.wav","01ae8c14","REQUIRED_COPIED_XREF","FUN_0126c670","0126c670","0126c76e",""
"game\Upgrade_Process.wav","01ae8c14","REQUIRED_COPIED_XREF","FUN_01271aa0","01271aa0","01271b9e",""
"game\Upgrade_Process.wav","01ae8c14","REQUIRED_COPIED_XREF","FUN_012768e0","012768e0","012769de",""
"game\Upgrade_Success.wav","01ae4648","REQUIRED_ADJACENT_XREF","FUN_011f77b0","011f77b0","011f7a2b",""
"game\Upgrade_Success.wav","01ae4648","REQUIRED_COPIED_XREF","FUN_0126c260","0126c260","0126c364",""
"game\Upgrade_Success.wav","01ae4648","REQUIRED_COPIED_XREF","FUN_01271060","01271060","01271152",""
"game\Upgrade_Success.wav","01ae4648","REQUIRED_COPIED_XREF","FUN_01277870","01277870","012778f9",""
"Item_Make\Make_ani_gauge_bg.tga","01aec874","EXCLUDED_NO_RELEVANT_XREF","","","","no xref row found by targeted sweep"
"Item_Make\Make_ani_gauge_pixel.tga","01ae8aac","REQUIRED_COPIED_XREF","FUN_012696e0","012696e0","01269aa1",""
"Item_Make\Make_ani_gauge_pixel.tga","01ae8aac","REQUIRED_COPIED_XREF","FUN_012696e0","012696e0","0126a01b",""
"Item_Make\Make_ani_gauge_pixel.tga","01ae8aac","REQUIRED_COPIED_XREF","FUN_0126ae30","0126ae30","0126b1a7",""
"Item_Make\Make_ani_gauge_pixel.tga","01ae8aac","REQUIRED_COPIED_XREF","FUN_0126b830","0126b830","0126b8ed",""
"Item_Make\Make_ani_gauge_pixel.tga","01ae8aac","REQUIRED_COPIED_XREF","FUN_0126b830","0126b830","0126ba3e",""
"Item_Make\Make_ani_gauge_pixel.tga","01ae8aac","REQUIRED_COPIED_XREF","FUN_01270660","01270660","0127071d",""
"Item_Make\Make_ani_gauge_pixel.tga","01ae8aac","REQUIRED_COPIED_XREF","FUN_01270660","01270660","0127086e",""
"Item_Make\Make_ani_gauge_pixel.tga","01ae8aac","REQUIRED_COPIED_XREF","FUN_01276140","01276140","01276200",""
"Item_Make\Make_ani_gauge_pixel.tga","01ae8aac","REQUIRED_COPIED_XREF","FUN_01276140","01276140","01276354",""
"Item_Make\Make_ani_gauge_pixel.tga","01ae8aac","REQUIRED_COPIED_XREF","FUN_01276140","01276140","012764b8",""
"Item_Make\Make_ani_gauge_pixel.tga","01ae8aac","REQUIRED_COPIED_XREF","FUN_01276140","01276140","0127660c",""
"Item_Make\Make_ani_gauge_pixel.tga","01ae8aac","REQUIRED_COPIED_XREF","FUN_01276140","01276140","01276770",""
"Item_Make\Make_ani_Sequence.dds","01aec9c4","EXCLUDED_NO_RELEVANT_XREF","","","","no xref row found by targeted sweep"
"Random_box\bar_arrow.png","01ae893c","REQUIRED_ADJACENT_XREF","FUN_01267bd0","01267bd0","01267d7d",""
"Random_box\bar_arrow.png","01ae893c","REQUIRED_COPIED_XREF","FUN_01268e20","01268e20","0126900f",""
"Random_box\bar_arrow.png","01ae893c","REQUIRED_COPIED_XREF","FUN_01268e20","01268e20","0126902b",""
"System\Btn_Nor13.tga","01ae3e9c","REQUIRED_ADJACENT_XREF","FUN_011ed230","011ed230","011ed706",""
"System\Btn_Nor13.tga","01ae3e9c","REQUIRED_ADJACENT_XREF","FUN_01222980","01222980","01223146",""
"System\Btn_Nor13.tga","01ae3e9c","REQUIRED_ADJACENT_XREF","FUN_01222980","01222980","01223175",""
"System\Btn_Nor13.tga","01ae3e9c","REQUIRED_COPIED_XREF","FUN_01268e20","01268e20","01268f4e",""
"System\Btn_Nor13.tga","01ae3e9c","REQUIRED_ADJACENT_XREF","FUN_012a79f0","012a79f0","012a80cc",""
"System\Btn_Nor13.tga","01ae3e9c","REQUIRED_ADJACENT_XREF","FUN_012ab500","012ab500","012ab66e",""
"System\Btn_Nor13_R.tga","01ae623c","EXCLUDED_ADJACENT_SYSTEM","FUN_01222980","01222980","01223205",""
"System\Btn_Nor13_R.tga","01ae623c","EXCLUDED_ADJACENT_SYSTEM","FUN_01222980","01222980","01223234",""
