"OriginalFunction","FunctionAddress","CopiedFile","RefAddress","TargetAddress","TargetSymbol","Value"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a9e12","01af54ec","s_MENU_TXT_QUEST_LIST_01af54ec","MENU_TXT_QUEST_LIST"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a9cd4","01af5500","s_DIGIMONSTATUS_TITLE_TEXT_01af5500","DIGIMONSTATUS_TITLE_TEXT"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a990f","01af5544","s_MENU_TXT_ENCYCLOPEDIA_01af5544","MENU_TXT_ENCYCLOPEDIA"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a914a","01af574c","s_MENU_TXT_CASH_STORAGE_01af574c","MENU_TXT_CASH_STORAGE"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a9eb4","01af5a40","s_MENU_TXT_D_COMMERCE_01af5a40","MENU_TXT_D_COMMERCE"
"FUN_011a7b60","011a7b60","decompiled\ExtraInventoryUI\Seal\BuildExtraInventoryNotificationFront.original.c","011a7cfd","01ae104c","s_SealMaster\sealmaster_bg_01.tga_01ae104c","SealMaster\sealmaster_bg_01.tga"
"FUN_011a7b60","011a7b60","decompiled\ExtraInventoryUI\Seal\BuildExtraInventoryNotificationFront.original.c","011a7cc7","01ae106c","s_DigiCombine\DigiCombine_CardFron_01ae106c","DigiCombine\DigiCombine_CardFront.dds"
"FUN_011a72c0","011a72c0","decompiled\ExtraInventoryUI\Seal\BuildExtraInventoryNotificationSlot.original.c","011a795f","01ae0f00","s_Control_G\Popup\N2Dlg5.tga_01ae0f00","Control_G\Popup\N2Dlg5.tga"
"FUN_011a72c0","011a72c0","decompiled\ExtraInventoryUI\Seal\BuildExtraInventoryNotificationSlot.original.c","011a798d","01ae0f00","s_Control_G\Popup\N2Dlg5.tga_01ae0f00","Control_G\Popup\N2Dlg5.tga"
"FUN_011a72c0","011a72c0","decompiled\ExtraInventoryUI\Seal\BuildExtraInventoryNotificationSlot.original.c","011a771c","01ae0ff4","s_NewInventory\extra_inventory_not_01ae0ff4","NewInventory\extra_inventory_notification.tga"
"FUN_011a72c0","011a72c0","decompiled\ExtraInventoryUI\Seal\BuildExtraInventoryNotificationSlot.original.c","011a7612","01ae1024","s_NewInventory\extra_red_highlight_01ae1024","NewInventory\extra_red_highlight.tga"
"FUN_011a72c0","011a72c0","decompiled\ExtraInventoryUI\Seal\BuildExtraInventoryNotificationSlot.original.c","011a73fe","01ae104c","s_SealMaster\sealmaster_bg_01.tga_01ae104c","SealMaster\sealmaster_bg_01.tga"
"FUN_011a72c0","011a72c0","decompiled\ExtraInventoryUI\Seal\BuildExtraInventoryNotificationSlot.original.c","011a7407","01ae106c","s_DigiCombine\DigiCombine_CardFron_01ae106c","DigiCombine\DigiCombine_CardFront.dds"
"FUN_011adee0","011adee0","decompiled\ExtraInventoryUI\Seal\BuildSealInventoryGrid.original.c","011ae049","01ae0f00","s_Control_G\Popup\N2Dlg5.tga_01ae0f00","Control_G\Popup\N2Dlg5.tga"
"FUN_011adee0","011adee0","decompiled\ExtraInventoryUI\Seal\BuildSealInventoryGrid.original.c","011ae066","01ae0f60","s_SealMaster\sealmaster_highlight._01ae0f60","SealMaster\sealmaster_highlight.tga"
"FUN_011a60d0","011a60d0","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","011a6540","01ad0628","s_ENCY_DIGIMON_GRADE_N_01ad0628","ENCY_DIGIMON_GRADE_N"
"FUN_011a60d0","011a60d0","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","011a65d3","01ad0640","s_ENCY_DIGIMON_GRADE_A_01ad0640","ENCY_DIGIMON_GRADE_A"
"FUN_011a60d0","011a60d0","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","011a6666","01ad0658","s_ENCY_DIGIMON_GRADE_APLUS_01ad0658","ENCY_DIGIMON_GRADE_APLUS"
"FUN_011a60d0","011a60d0","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","011a66f9","01ad0674","s_ENCY_DIGIMON_GRADE_S_01ad0674","ENCY_DIGIMON_GRADE_S"
"FUN_011a60d0","011a60d0","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","011a678c","01ad068c","s_ENCY_DIGIMON_GRADE_SPLUS_01ad068c","ENCY_DIGIMON_GRADE_SPLUS"
