"CopiedFile","SymbolInC","Address","Value","Source"
"decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","s_Control_G_ComboBox_Combo_tga_01ae65fc","01ae65fc","Control_G\ComboBox\Combo.tga","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","s_Control_G_Popup_ON2Dlg_01ae661c","01ae661c","Control_G\Popup\ON2Dlg","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\HandleSealAlreadyMasteredMessage.original.c","s_COMMON_NOT_USE_NOW_01ad0cf0","01ad0cf0","COMMON_NOT_USE_NOW","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\HandleSealAlreadyMasteredMessage.original.c","s_EXTRA_INVEN_SEAL_ALREADY_MASTERE_01ae1388","01ae1388","EXTRA_INVEN_SEAL_ALREADY_MASTERED","copied-c-symbol"
"decompiled\Shared\HandleExtraInventoryAlreadySorted.original.c","s_COMMON_NOT_USE_TIME_01acfe54","01acfe54","COMMON_NOT_USE_TIME","copied-c-symbol"
"decompiled\Shared\HandleExtraInventoryAlreadySorted.original.c","s_COMMON_NOT_USE_NOW_01ad0cf0","01ad0cf0","COMMON_NOT_USE_NOW","copied-c-symbol"
"decompiled\Shared\HandleExtraInventoryAlreadySorted.original.c","s_EXTRA_INVEN_ALREADY_SORTED_01ad0d1c","01ad0d1c","EXTRA_INVEN_ALREADY_SORTED","copied-c-symbol"
"decompiled\Shared\HandleExtraInventoryFailure.original.c","s_MESSAGE_BOX_CAPTION_NOTICE_01ace3c0","01ace3c0","MESSAGE_BOX_CAPTION_NOTICE","copied-c-symbol"
"decompiled\Shared\HandleExtraInventoryFailure.original.c","s_FAILURE_EXTRA_INVENTORY_01ad0cd8","01ad0cd8","FAILURE_EXTRA_INVENTORY","copied-c-symbol"
"decompiled\Shared\HandleExtraInventoryFilterFail.original.c","s_EXTRA_INVEN_DURING_FILTER_FAIL_01ad0e10","01ad0e10","EXTRA_INVEN_DURING_FILTER_FAIL","copied-c-symbol"
"decompiled\Shared\HandleExtraInventoryWrongMove.original.c","s_COMMON_NOT_USE_NOW_01ad0cf0","01ad0cf0","COMMON_NOT_USE_NOW","copied-c-symbol"
"decompiled\Shared\HandleExtraInventoryWrongMove.original.c","s_EXTRA_INVEN_WRONG_ITEM_MOVE_01ad0df4","01ad0df4","EXTRA_INVEN_WRONG_ITEM_MOVE","copied-c-symbol"
"decompiled\Shared\LoadExtraInventoryEvoDataTable.original.c","u_DM_Extra_Inven_Evo_Data_bin_01a1b130","01a1b130","DM_Extra_Inven-Evo_Data.bin","copied-c-symbol"
"decompiled\Shared\LoadExtraInventoryTextTable.original.c","u_DM_Extra_Inven_EvoExInven_Str_bi_01a1d580","01a1d580","DM_Extra_Inven-EvoExInven_Str.bin","copied-c-symbol"
"decompiled\Shared\LoadExtraInventoryTextTable.original.c","s_list_too_long_01abdaa4","01abdaa4","list too long","copied-c-symbol"
"decompiled\Shared\LoadSealMasterNameText.original.c","u_SealMasterName_Str_bin_01a1d0d4","01a1d0d4","SealMasterName_Str.bin","copied-c-symbol"
"decompiled\Shared\LoadSealMasterNameText.original.c","s_list_too_long_01abdaa4","01abdaa4","list too long","copied-c-symbol"
"decompiled\Shared\LoadSealMasterTables.original.c","u_SealCard_bin_01a1a0e8","01a1a0e8","SealCard.bin","copied-c-symbol"
"decompiled\Shared\LoadSealMasterTables.original.c","u_SealLeader_bin_01a1a104","01a1a104","SealLeader.bin","copied-c-symbol"
"decompiled\Shared\LoadSealMasterTables.original.c","u_SealDigimonImage_bin_01a1a124","01a1a124","SealDigimonImage.bin","copied-c-symbol"
"decompiled\Shared\LoadSealMasterTables.original.c","u_SealPlateImage_bin_01a1a150","01a1a150","SealPlateImage.bin","copied-c-symbol"
"decompiled\Shared\LoadSealMasterTables.original.c","u_SealNatureImage_bin_01a1a178","01a1a178","SealNatureImage.bin","copied-c-symbol"
"decompiled\Shared\LoadSealMasterTables.original.c","u_SealBaseImage_bin_01a1a1a0","01a1a1a0","SealBaseImage.bin","copied-c-symbol"
"decompiled\Shared\LoadSealMasterTables.original.c","u_SealFilter_bin_01a1a1c4","01a1a1c4","SealFilter.bin","copied-c-symbol"
"decompiled\Shared\ResolveExtraInventoryAllGetMessage.original.c","s_COMMON_NOT_USE_NOW_01ad0cf0","01ad0cf0","COMMON_NOT_USE_NOW","copied-c-symbol"
"decompiled\Shared\ResolveExtraInventoryAllGetMessage.original.c","s_EXTRA_INVEN_INVENTORY_LACK_01ad0dbc","01ad0dbc","EXTRA_INVEN_INVENTORY_LACK","copied-c-symbol"
"decompiled\Shared\ResolveExtraInventoryAllGetMessage.original.c","s_EXTRA_INVEN_NO_ITEMS_TO_GET_01ad0dd8","01ad0dd8","EXTRA_INVEN_NO_ITEMS_TO_GET","copied-c-symbol"
