"AssetPath","Type","FoundBy","Entry","RefAddr","CopiedPath","PackHint","ExtractionStatus"
"Item_Make\Make_ani_gauge_pixel.tga","tga","FUN_0126b830","0126b830","0126ba3e","decompiled\RestoreTab\BuildRestoreConnectionLines.original.c","Pack01 interface/sound","mapped only"
"Item_Make\Make_ani_gauge_pixel.tga","tga","FUN_01270660","01270660","0127071d","decompiled\TransferTab\BuildTransferConnectionLines.original.c","Pack01 interface/sound","mapped only"
"Item_Make\Make_ani_gauge_pixel.tga","tga","FUN_01270660","01270660","0127086e","decompiled\TransferTab\BuildTransferConnectionLines.original.c","Pack01 interface/sound","mapped only"
"Item_Make\Make_ani_gauge_pixel.tga","tga","FUN_01276140","01276140","01276200","decompiled\StrengthenTab\BuildStrengthenSlotNetwork.original.c","Pack01 interface/sound","mapped only"
"Item_Make\Make_ani_gauge_pixel.tga","tga","FUN_01276140","01276140","01276354","decompiled\StrengthenTab\BuildStrengthenSlotNetwork.original.c","Pack01 interface/sound","mapped only"
"Item_Make\Make_ani_gauge_pixel.tga","tga","FUN_01276140","01276140","012764b8","decompiled\StrengthenTab\BuildStrengthenSlotNetwork.original.c","Pack01 interface/sound","mapped only"
"Item_Make\Make_ani_gauge_pixel.tga","tga","FUN_01276140","01276140","0127660c","decompiled\StrengthenTab\BuildStrengthenSlotNetwork.original.c","Pack01 interface/sound","mapped only"
"Item_Make\Make_ani_gauge_pixel.tga","tga","FUN_01276140","01276140","01276770","decompiled\StrengthenTab\BuildStrengthenSlotNetwork.original.c","Pack01 interface/sound","mapped only"
"Random_box\bar_arrow.png","png","FUN_01268e20","01268e20","0126900f","decompiled\RestoreTab\BuildRestoreTabLayout.original.c","Pack01 interface/sound","mapped only"
"Random_box\bar_arrow.png","png","FUN_01268e20","01268e20","0126902b","decompiled\RestoreTab\BuildRestoreTabLayout.original.c","Pack01 interface/sound","mapped only"
"System\Btn_Nor13.tga","tga","FUN_01268e20","01268e20","01268f4e","decompiled\RestoreTab\BuildRestoreTabLayout.original.c","Pack01 interface/sound","mapped only"
