"Function","Entry","RefAddr","Target","Value","Copied"
"FUN_01352d20","01352d20","01353528","01af1f04","sealmaster_monster","NO"
"FUN_01354110","01354110","0135444b","01ad7abc","SealMaster\btn_combobox.tga","NO"
"FUN_01354110","01354110","0135445b","01ad7b14","SealMaster\dropdown_list_0","NO"
"FUN_01354110","01354110","01354478","01ae13ac","SEALMASTER_STATE_COMBO_ALL","NO"
"FUN_01354110","01354110","013545a1","01ae13e4","SEALMASTER_STATE_COMBO_DS","NO"
"FUN_01354110","01354110","013544f6","01ae1400","SEALMASTER_STATE_COMBO_HP","NO"
"FUN_01354110","01354110","013546f7","01ae141c","SEALMASTER_STATE_COMBO_AS","NO"
"FUN_01354110","01354110","0135464c","01ae1438","SEALMASTER_STATE_COMBO_AT","NO"
"FUN_01354110","01354110","0135484d","01ae1454","SEALMASTER_STATE_COMBO_HT","NO"
"FUN_01354110","01354110","013547a2","01ae1470","SEALMASTER_STATE_COMBO_CT","NO"
"FUN_01354110","01354110","013549a3","01ae148c","SEALMASTER_STATE_COMBO_BL","NO"
"FUN_01354110","01354110","013548f8","01ae14a8","SEALMASTER_STATE_COMBO_DE","NO"
"FUN_01354110","01354110","01354a4e","01ae14f4","SEALMASTER_STATE_COMBO_EV","NO"
"FUN_01354bb0","01354bb0","0135503a","01ad7490","SEALMASTER_STATE_AT","NO"
"FUN_01354bb0","01354bb0","0135543a","01ad74d8","SEALMASTER_STATE_CT","NO"
"FUN_01354bb0","01354bb0","01355a3a","01ad74ec","SEALMASTER_STATE_BL","NO"
"FUN_01354bb0","01354bb0","01354c26","01ad7500","SEALMASTER_STATE_HP","NO"
"FUN_01354bb0","01354bb0","01355c2a","01ad7514","SEALMASTER_STATE_EV","NO"
"FUN_01354bb0","01354bb0","01354e39","01ae32e4","SEALMASTER_STATE_DS","NO"
"FUN_01354bb0","01354bb0","0135563a","01ae3314","SEALMASTER_STATE_HT","NO"
"FUN_01354bb0","01354bb0","0135523a","01ae3328","SEALMASTER_STATE_AS","NO"
"FUN_01354bb0","01354bb0","0135583a","01ae333c","SEALMASTER_STATE_DE","NO"
"FUN_01354bb0","01354bb0","01354c09","01af1f18","SealMaster\Sealmaster_deco.tga","NO"
"FUN_013a7820","013a7820","013a7a0b","01aedbdc","INVENTORY_TITLE_TEXT","NO"
"FUN_013a7820","013a7820","013a7bb8","01af1dbc","SEALMASTER_SEAL_TITLE","NO"
"FUN_013a7820","013a7820","013a7a5d","01af54c4","MainMenu\MainMenu_Button_inventory.png","NO"
"FUN_013a8b10","013a8b10","013a8d90","01af593c","QUICK_MENU_TXT_INVENTORY","NO"
"FUN_013a8b10","013a8b10","013a8dd1","01af59d8","QuickMenu\QuickMenu_Button_inventory.png","NO"
"FUN_013a90e0","013a90e0","013a9559","01ae1120","EXTRA_INVEN_TITLE","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c"
"FUN_013a90e0","013a90e0","013a94b7","01aedbdc","INVENTORY_TITLE_TEXT","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c"
